"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,46.9410254349542,16.3931480956912,100.882545293678,101.186608480532,2072.73970573639,1731,1525.11504157007,1946.5,1622.5,1747,1622.5,79.0048634265369
"2002/2003",2003,120,120,100,52.5633986004084,14.1922528348071,99.7477281352263,101.616024820245,2138.52202428074,1845,1619.1611853068,1969.5,1768.5,1803,1768.5,77.3330838613427
"2003/2004",2004,120,120,100,48.4758051894125,12.0141747061099,115.548785915839,103.152860981156,1859.53665302294,1538,1196.12256435602,1764.5,1376.5,1805,1376.5,65.0257693314006
"2004/2005",2005,121,121,100,40.365611580008,14.293228340899,113.793395529183,103.923123827992,1761.44829773059,1366.5,1139.60601310227,1630.5,1285,1553,1285,63.6915001789573
"2005/2006",2006,120,120,100,48.9345612264202,16.4592241473823,102.46521830432,103.765379622579,2042.92459382136,1675,1415.91993829018,1876.5,1592,1809,1592,72.7946318567563
"2006/2007",2007,120,120,100,35.8668746511474,14.8977469448122,123.532199408666,101.523377281666,1522.51696218571,1207,950.898700645339,1391,1064,1437,1064,57.9509337326895
"2007/2008",2008,120,120,100,64.1764871288654,15.1752592920896,96.2012749545271,105.063091361417,2419.41755979779,2117.5,1696.22399440719,2333.5,1989,2340,1989,80.8046411050566
"2008/2009",2009,121,121,100,32.4357437802177,7.65304825199208,127.902540246561,101.416482204465,1426.26318276837,1067.5,856.920223290792,1293,998.5,1253,998.5,58.3115780744054
"2009/2010",2010,120,120,100,57.3469836697103,16.4730528825866,100.235972089249,103.185506872854,2249.07691906577,1968.5,1625.14789263238,2116.5,1877.5,2008,1877.5,79.0215650693547
"2010/2011",2011,120,120,100,46.7505899357085,14.8432299586495,101.151528766745,102.197536910782,1980.75428876077,1598,1422.45801199371,1845.5,1577,1649,1577,72.8474017339267
"2011/2012",2012,120,120,100,51.9576384097767,14.894010213635,98.3509869439482,100.09690545221,2089.37294336286,1791.5,1656.49458994385,1967,1815,1753,1815,78.6742222236753
"2012/2013",2013,121,121,100,36.4756574998321,12.0863061961873,116.529312166486,101.576097507085,1635.00498873039,1229,1114.41647959301,1493.5,1196.5,1446,1196.5,62.4118820161802
"2013/2014",2014,120,120,100,55.4627214808701,15.348435112493,102.696454147418,101.659428789054,2134.61328742768,1861.5,1608.26375505766,2014,1789.5,1924,1789.5,79.1030809383228
"2014/2015",2015,120,120,100,40.233642590406,12.6301892436857,110.767494890816,104.475417072964,1797.97900069691,1375,1124.27724405706,1681,1259.5,1670,1259.5,67.5249639370977
"2015/2016",2016,120,120,100,56.8443037310988,17.4394738697411,100.994186007138,101.807482885544,2172.4611847559,1899.5,1643.1693598078,2036,1835,1994,1835,77.2549736159422
"2016/2017",2017,121,121,100,37.8796250311091,14.7078436460437,113.696205692632,106.778876688992,1744.67499593865,1198,990.279533041437,1617,1131.5,1591,1131.5,64.0353926037037
"2017/2018",2018,120,120,100,64.434775901941,19.6184442602973,100.258087683888,102.452235408576,2274.68256110088,2044,1711.16067271063,2180,1968.5,2190,1968.5,81.6650996486223
"2018/2019",2019,120,120,100,62.7604754195826,15.6151072214942,92.585324017373,101.281443848959,2392.95542409809,2138.5,1891.82951462711,2255.5,2074.5,2162,2074.5,83.8822872370647
"2019/2020",2020,120,120,100,52.6776528231449,17.5974155021071,108.727398247181,103.647652851329,2022.34250028497,1648,1363.62816607878,1919,1553,1994,1553,73.1130073102959
"2020/2021",2021,121,121,100,45.9436742748178,14.0656231365543,108.567331796729,101.701540946931,1904.01244686088,1621,1403.43573882592,1774.5,1538.5,1675,1538.5,72.9096937457962
"2021/2022",2022,120,120,100,51.7397383028306,13.8177771933268,108.14948805192,101.431358232329,1953.42965032326,1715.5,1416.86498955717,1883,1614,1809,1614,71.6481536055117
"2022/2023",2023,120,120,100,46.2481438386813,13.3852582985976,100.446918064737,98.0534958912932,1920.16409058339,1698.5,1506.76766365654,1854,1610.5,1597,1610.5,74.9877824206515
"2023/2024",2024,120,120,100,53.6869553958759,19.4295631056591,109.764369724113,106.032009993367,2007.80674932781,1625,1241.6418528428,1949,1483.5,2017,1483.5,69.6582136053676
"2024/2025",2025,121,121,100,58.9590261281556,19.1972605598774,93.8472345487594,102.795622518239,2350.34636113612,2036,1778.44418114552,2188,1989.5,2084,1989.5,82.7511551318266
"2025/2026",2026,120,120,100,51.1854728803023,18.764876627719,102.105245925671,103.441475308492,2094.88385543076,1789.5,1478.30365772871,1974,1640.5,1996,1640.5,76.4827347388555
"2026/2027",2027,120,120,100,32.6747775198216,7.51709618180529,123.925944538926,101.318993261755,1494.53924103366,1076,900.678709591128,1391.5,991,1444,991,58.7195062283699
"2027/2028",2028,120,120,100,52.9606452348625,15.6116986233121,89.6831333729059,96.9202751991027,2247.54607566717,1959,1966.764765478,2021.5,2070,1632,2070,86.0166849650905
"2028/2029",2029,121,121,100,41.9628381307319,13.478927966232,118.10624484321,107.04158236812,1691.52802510059,1267,931.865701932751,1574.5,1110.5,1685,1110.5,61.7234852056263
"2029/2030",2030,120,120,100,43.791551685368,11.5574189042576,105.021424504184,101.71382093703,1927.78490917111,1589.5,1352.29507397793,1808,1509.5,1652,1509.5,73.9711023310438
"2030/2031",2031,120,120,100,28.2807980245485,8.65093075821505,125.687113875632,98.6199281487443,1320.86530150822,965,864.665828593861,1208,908.5,1140,908.5,53.5146719951981
"2031/2032",2032,120,120,100,34.3023003248432,11.6437340932116,119.56204364751,105.08224304138,1603.52628024065,1082.5,868.487976585573,1478.5,945,1559,945,59.8256744983919
"2032/2033",2033,121,121,100,56.9205237441991,20.2132886979191,99.1033805881043,102.185998859456,2261.9282926989,1968,1733.3165525872,2077.5,1917.5,2002,1917.5,82.6728102830857
"2033/2034",2034,120,120,100,39.2360599364295,13.4329091156636,114.907822006987,101.771865805331,1675.1275714181,1341.5,1102.51965041645,1571.5,1267.5,1530,1267.5,65.9418406174518
"2034/2035",2035,120,120,100,49.0827643842047,13.5099499236177,101.769085061093,100.744906795297,2044.21166078511,1747,1481.04641447647,1899.5,1643,1803,1640,76.3003654849417
"2035/2036",2036,120,120,100,44.5077910992464,13.7812753627073,101.148682788855,102.033300887993,1965.27711060926,1600.5,1412.88681372206,1809,1475.5,1749,1475.5,72.8781621461712
"2036/2037",2037,121,121,100,50.7187754168917,14.2875563052801,104.652323398428,104.129745328947,2087.12132615421,1709.5,1474.03094594259,1954.5,1635,1914,1635,74.9730889093698
"2037/2038",2038,120,120,100,48.4487155298008,11.0172455203812,104.176608812262,101.075259726097,1986.84338371348,1641,1446.7881426705,1848,1611.5,1716,1611.5,76.5629747093171
"2038/2039",2039,120,120,100,61.9218289605597,21.9813099497071,99.8536266782333,105.484607746745,2330.38426248051,2057.5,1613.69742252119,2221,1873.5,2308,1873.5,79.0491563712148
"2039/2040",2040,120,120,100,47.286279323819,17.3781788404125,101.179155938591,102.237509111366,2022.54519268032,1656,1486.92754713699,1846.5,1616.5,1742,1616.5,75.2337237979846
"2040/2041",2041,121,121,100,51.6966028300004,15.1330379302593,102.162280647596,105.282282453345,2152.79790140057,1730,1477.0782588658,2026,1647,1957,1647,77.4513686048485
"2041/2042",2042,120,120,100,57.2505247458972,17.4051797887754,88.2643348293539,97.9532314737884,2327.00281876727,2105.5,1971.0157487898,2167,2152,1848,2152,85.9761337333257
"2042/2043",2043,120,120,100,48.7123663853943,16.3745446642197,97.3873465506335,99.4117314862245,2066.54820481403,1815,1595.55415638609,1919.5,1758.5,1642,1758.5,79.3107347450659
"2043/2044",2044,120,120,100,42.8242176471539,11.3537809338543,110.146543499737,105.846186774098,1859.74726342317,1427.5,1117.02428073948,1717,1286,1711,1286,68.5484918714883
"2044/2045",2045,121,121,100,61.2653969845198,16.7124337744986,96.194462236646,104.475220774455,2368.63744730962,2066,1731.48749256349,2234.5,1990,2200,1990,82.4893138886455
"2045/2046",2046,120,120,100,33.281504742551,10.2888413456116,118.470464046399,104.67750077926,1588.9812627451,1159,877.274945779442,1484,969,1540,969,60.5511644888429
"2046/2047",2047,120,120,100,55.0462779710715,16.2401948921139,101.380982332355,102.139465188391,2155.84355816053,1906,1593.29937139284,2034.5,1806,1996,1806,79.2930405379193
"2047/2048",2048,120,120,100,48.282004081998,12.8596545796316,98.9003824921272,101.941161100424,2097.01585956325,1708.5,1534.76755690426,1973,1622,1830,1622,77.9537867949239
"2048/2049",2049,121,121,100,50.0375292641245,17.5371149928948,112.155423276884,102.217823555416,1989.49099765881,1693.5,1394.97652036653,1861.5,1612,1786,1612,69.9727534184804
"2049/2050",2050,120,120,100,54.6527939984923,13.1048851209763,107.035038401587,106.450928168364,2033.60539237561,1678.5,1285.06648288865,1924.5,1533,1999,1533,69.7190968225623
"2050/2051",2051,120,120,100,41.3126065658141,11.596422113325,112.884000249194,105.527595834122,1831.83458695823,1295.5,1069.65564136399,1705,1216,1756,1216,66.2878557219792
"2051/2052",2052,120,120,100,44.7122050608557,12.9312805747146,107.110104803843,101.465174878926,1885.21908120299,1554.5,1355.46931189427,1736.5,1513.5,1622,1513.5,71.4896596671679
"2052/2053",2053,121,121,100,60.4859255796871,17.7061098236229,95.1017293596479,100.15509657615,2320.05885785603,2066,1897.60494326308,2158,2054,2002,2054,85.1020297121286
"2053/2054",2054,120,120,100,57.6024877555505,14.9225853461655,99.8697700752289,98.8867480686399,2181.49150672834,1995,1794.50751729778,2048.5,1995.5,1919,1995.5,78.6216109006873
"2054/2055",2055,120,120,100,63.6215631479471,20.4594650093339,96.0646036188664,103.945293024193,2354.11574969051,2128.5,1718.28816842186,2279.5,1997,2251,1997,81.7139180206759
"2055/2056",2056,120,120,100,59.9454816530572,16.5205619199141,101.654787816413,104.922007306226,2232.00856217695,1985.5,1502.44885214156,2175.5,1802,2195,1802,76.9329721984086
"2056/2057",2057,121,121,100,48.6803838480693,14.9039133092624,98.2863337223204,99.4645614480705,2120.06216771336,1836,1703.01807618828,1948.5,1776.5,1730,1776.5,80.2029638704298
"2057/2058",2058,120,120,100,48.2098843593794,9.73716420213021,103.801901441393,102.590110978082,1923.30956720602,1657.5,1329.15786028968,1855,1513.5,1747,1513.5,69.6239452434911
"2058/2059",2059,120,120,100,57.1465898252411,19.9602756674576,104.192409158157,106.847392525872,2178.82133369084,1842.5,1386.01433356386,2068,1659,2178,1659,74.9274893613438
"2059/2060",2060,120,120,100,48.7959277512918,12.2282472787786,115.736117484697,101.760001495188,1924.10621197743,1617,1278.8787513905,1809,1476.5,1845,1476.5,70.967493841661
"2060/2061",2061,121,121,100,44.9556901108203,14.4053111037437,111.869113163211,103.41509847762,1876.08775150438,1526.5,1268.46887550078,1739.5,1417,1716,1417,65.3414208055055
"2061/2062",2062,120,120,100,58.0858640757367,21.0209285648743,91.4053144698984,97.9263029576515,2305.14700724598,2066.5,1983.27921641868,2126,2082,1910,2082,87.3372832132627
"2062/2063",2063,120,120,100,47.1525757967232,12.314563679065,114.294722277371,101.369526579534,1829.39886299166,1538.5,1269.18496739003,1714,1441.5,1679,1441.5,69.5476884721793
"2063/2064",2064,120,120,100,44.019227197943,9.48331247766759,103.756764796879,101.911482361229,1927.8030520812,1581.5,1352.03062330815,1800.5,1497,1724,1497,71.6828088628954
"2064/2065",2065,121,121,100,60.112207314679,16.8286500871003,105.450752125641,105.507181389152,2163.41647522757,1882,1487.43403827149,2079,1745,2091,1745,74.7948668581885
