"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,39.8499195224986,3.46239064763576,111.193999345083,101.170324827828,1730.18568905145,1393.5,1224.16427311948,1590,1338,1492,1338,70.616569444531
"2002/2003",2003,120,120,100,48.3732074736958,10.0127070729294,108.745888943369,105.695015519043,2008.45129147601,1627.5,1269.75739500139,1881.5,1464.5,1961,1464.5,69.4627414284875
"2003/2004",2004,120,120,100,31.918861094912,14.9102884361407,126.322736808928,104.319518293017,1480.88233574088,964,739.353453302758,1399.5,853,1486,853,53.1203651318565
"2004/2005",2005,121,121,100,30.8673719251815,8.21742350230381,124.964535696862,103.693512619088,1429.00192456027,1017,812.217511901679,1303.5,910,1264,910,52.1082320504502
"2005/2006",2006,120,120,100,34.8266291109289,9.08242249397549,113.222931797882,103.221691642089,1619.58015012655,1163.5,1030.52502091024,1448.5,1113,1368,1113,59.793299728099
"2006/2007",2007,120,120,100,25.5939575238353,6.03446737693669,134.899597568792,100.634256149488,1165.42952936541,821,618.052006916523,1084.5,733,1036,733,48.7327464376413
"2007/2008",2008,120,120,100,46.7390545272954,8.23284986110884,106.182358861017,107.05035247182,2028.42374369827,1538,1223.12722239034,1916.5,1363,1974,1363,69.6456973615336
"2008/2009",2009,121,121,100,24.4843508811392,11.7614445322119,141.588042812768,98.5885583869973,1120.0363173573,807,633.030520526845,1017,742,972,742,48.009692362757
"2009/2010",2010,120,120,100,48.4759786999713,13.6560497753704,111.321479065962,103.658727813079,1974.08619087066,1637.5,1307.03040753883,1865,1489.5,1881,1489.5,72.195112006116
"2010/2011",2011,120,120,100,38.8323687301846,9.14632906993668,111.57371189175,102.709602677237,1695.78503701363,1293,1124.13509551458,1524.5,1280.5,1292,1280.5,63.1653409406358
"2011/2012",2012,120,120,100,47.2256796431477,5.60127649385292,108.704890760848,101.13924183315,1881.34395295662,1598,1370.01423763717,1789,1529.5,1704,1529.5,73.0195433070764
"2012/2013",2013,121,121,100,31.1049013586764,6.2412239125105,128.081244354351,100.53250031579,1373.68194950841,1018,891.022197863218,1202.5,999,1176,999,54.8940819438262
"2013/2014",2014,120,120,100,45.2742031790856,4.87268420817031,112.040209672492,105.201167151181,1913.55164099947,1567,1175.2406566537,1842.5,1370.5,1823,1370.5,73.6705640890063
"2014/2015",2015,120,120,100,30.3517954782211,-0.267826382548218,121.610306465361,104.449634735791,1436.0223444538,960,787.019284771763,1285.5,868.5,1310,868.5,57.5461398802827
"2015/2016",2016,120,120,100,49.4546917803616,8.28472412773646,110.159351524982,105.429841978745,1962.88691205441,1614.5,1237.36616016959,1859.5,1477,1887,1477,70.1654473852936
"2016/2017",2017,121,121,100,30.203740085297,3.81500637704953,125.07196635418,105.44795427992,1379.6310458356,916,722.107930529804,1261,815.5,1285,815.5,53.7889504849604
"2017/2018",2018,120,120,100,50.8769665074696,13.6170608058489,109.916213732007,105.494495639587,1985.74969654447,1632,1251.34917692633,1883.5,1488.5,1949,1488.5,71.0810330135969
"2018/2019",2019,120,120,100,54.7053372500043,4.74752446078949,102.188217069536,104.06602503666,2156.73365647315,1818,1519.83476885079,2030,1719,2031,1719,75.7725700948381
"2019/2020",2020,120,120,100,40.1465066374633,7.53593689083336,119.341562610888,104.515588352469,1695.45748203367,1276.5,975.682528333731,1607.5,1142.5,1649,1142.5,61.303209123872
