"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,44.2475564781143,2.01020094964238,105.668860608017,101.32501874141,1913.67285639253,1576.5,1394.84396921421,1780,1479,1655,1479,76.2737326904275
"2002/2003",2003,120,120,100,52.8740315140382,4.92007577287263,103.872279810481,103.79980772837,2142.05569467499,1826.5,1493.01099090395,1982.5,1711,1879,1711,74.9005204828658
"2003/2004",2004,120,120,100,41.6762336936555,6.84696079651613,120.541963898982,103.962559006333,1714.98637771845,1306,1007.22279573297,1608.5,1144.5,1723,1144.5,59.548744591554
"2004/2005",2005,121,121,100,35.8502566061401,3.61320691464818,119.114248602161,103.95815365646,1625.27973393354,1190,992.321453154229,1493,1112,1468,1112,58.7110884309076
"2005/2006",2006,120,120,100,39.1072676662756,4.17506237646937,107.508190076035,103.888723562204,1847.68940224304,1389,1208.56406687745,1714.5,1321,1544,1321,68.4678175408629
"2006/2007",2007,120,120,100,30.9867173593982,2.71116091062242,128.530726405364,101.772400915104,1368.50037892566,971,776.473627482526,1231,887,1260,887,53.7310113108351
"2007/2008",2008,120,120,100,55.929956957249,2.35864354699925,100.956785344745,106.081208585647,2269.72567557648,1878,1494.86449714622,2159,1711,2153,1711,77.4426962998634
"2008/2009",2009,121,121,100,28.020060312846,5.04910129891304,134.741544477564,99.6536998152615,1279.57872931769,913.5,764.074251464353,1182,886,1080,886,52.0523139892805
"2009/2010",2010,120,120,100,52.8256200247698,4.9605325936767,105.69955215752,102.633005136551,2127.27295136234,1853,1514.02685768112,1989.5,1740.5,1880,1740.5,77.2661349571251
"2010/2011",2011,120,120,100,39.4663294076636,3.23396693693271,106.341264109494,102.357188552498,1791.20461894236,1324,1224.54125477156,1647.5,1327.5,1383,1327.5,67.137946237543
"2011/2012",2012,120,120,100,50.0888293224909,0.999066585489957,103.154915311848,100.475833643417,1997.38220453442,1732,1535.41646770483,1909,1717,1759,1717,77.2253460917841
"2012/2013",2013,121,121,100,34.2552206300424,3.92877354061655,121.796074554889,101.231954363908,1513.91313361884,1125,1025.00181093592,1363,1102,1274,1102,60.1433082771523
"2013/2014",2014,120,120,100,52.7441324589625,3.18719843811591,106.934611813186,103.760673592908,2084.13057783942,1760.5,1428.431657505,1979.5,1670.5,1962,1670.5,77.9135125349717
"2014/2015",2015,120,120,100,35.3947829317061,0.916300003938262,115.703780854946,104.848031445787,1639.49637765063,1177,966.099480947523,1533,1072,1546,1072,63.234955418749
"2015/2016",2016,120,120,100,55.2819239114652,3.68714679850964,105.211933642664,103.774661067337,2109.80413803064,1791,1481.66553077711,1985,1698,1961,1698,75.1269583451344
"2016/2017",2017,121,121,100,33.7733573280853,2.31997056817611,118.881967916541,106.398566133039,1588.90246838568,1099.5,879.793002347556,1474.5,990.5,1472,990.5,59.9634582544027
"2017/2018",2018,120,120,100,57.8911637417032,4.31537075400363,104.876966718935,103.705034095766,2151.57284623117,1853.5,1508.65774702156,2056.5,1779.5,2020,1779.5,77.5126581474196
"2018/2019",2019,120,120,100,59.0456274499512,1.6016789919688,97.0187810152746,102.555359935383,2300.97245674676,2022.5,1727.92081637325,2188,1941.5,2120,1941.5,81.1202639554554
"2019/2020",2020,120,120,100,47.1589437018032,3.85505261896137,113.732328179266,104.061554262204,1884.79306946673,1500,1194.01469002673,1791,1369,1829,1369,68.5319127422126
"2020/2021",2021,121,121,100,47.7553026517431,6.66029459682077,113.47505991447,101.944088708024,1831.22627338803,1583.5,1315.49793957509,1729,1480,1621,1480,70.1585761783772
"2021/2022",2022,120,120,100,47.0154792446503,1.65047613849924,114.196977489936,100.146890814514,1822.59095628987,1587,1317.61768286848,1747,1500.5,1652,1500.5,68.1616764436926
"2022/2023",2023,120,120,100,46.8365239797874,2.22782172128247,104.877443330002,99.2124405251487,1879.05698302202,1650,1414.31479738968,1756.5,1581.5,1569,1581.5,72.7301515494692
"2023/2024",2024,120,120,100,50.1557084175028,3.53826668115811,114.595646068659,106.294402150296,1854.24841026223,1448,1086.39557984556,1783.5,1335,1808,1335,66.1676488255416
"2024/2025",2025,121,121,100,57.3809493610886,5.35961599599919,98.172637547579,104.303263271303,2287.89802496019,1928,1667.81318649647,2176,1846.5,2075,1846.5,79.9464339485367
"2025/2026",2026,120,120,100,48.0988873579393,3.46360985810222,106.514402022136,104.295674551389,1964.75979822889,1592,1321.3064636491,1864,1492.5,1815,1492.5,72.1818405751601
"2026/2027",2027,120,120,100,33.1993610890912,3.33989784138153,129.154312101423,101.37790099116,1400.31149127355,1026.5,802.706664034966,1318,938,1316,938,56.0621360543555
"2027/2028",2028,120,120,100,54.0378801255135,1.89364100816499,93.9671874266678,98.6660230686374,2219.05335984292,1919.5,1849.0635635372,2020,2020,1657,2020,84.9373893298362
"2028/2029",2029,121,121,100,37.6356187734165,3.83666618458563,123.974067985353,105.557008865655,1533.13253600747,1118.5,845.497931258185,1388.5,1014.5,1507,1014.5,54.7567150689847
"2029/2030",2030,120,120,100,41.8865688547515,2.12440389977851,109.273444435484,102.792390202556,1884.76920064347,1497,1260.64292789668,1711.5,1403.5,1578,1403.5,73.4600640838962
"2030/2031",2031,120,120,100,26.4624170260045,4.45900557765221,130.793081298895,99.0199950894992,1246.96461244678,877.5,753.646926798509,1113,821.5,1055,821.5,53.3676685445544
"2031/2032",2032,120,120,100,27.7424613952822,4.09691497120727,124.74977565858,104.327024346615,1403.27973532857,896.5,711.289404372335,1270.5,810.5,1189,810.5,54.6906920174688
"2032/2033",2033,121,121,100,49.498680255058,0.911681290985225,103.853042066028,103.020385294667,2104.94854310661,1734,1528.1750896812,1940.5,1689.5,1775,1689.5,77.1591041180036
"2033/2034",2034,120,120,100,33.7474414080693,4.42694784743187,120.981120074806,100.247225803186,1533.27864158599,1208,998.586060945148,1439,1155.5,1348,1155.5,62.3916710227186
"2034/2035",2035,120,120,100,44.3332234922827,0.243487093450994,106.670349124195,100.841933312724,1912.03203004017,1572.5,1344.1940197092,1825.5,1502.5,1611,1502.5,72.1326797444608
"2035/2036",2036,120,120,100,41.881833451188,2.97734197494367,105.286493135081,103.754034476507,1908.60143898136,1472.5,1271.24181445243,1746.5,1375.5,1655,1375.5,69.8003613623196
"2036/2037",2037,121,121,100,49.146198139681,7.37782995654297,109.420994125645,105.077124303769,2006.20153222585,1620.5,1336.42772906204,1900.5,1526,1889,1526,70.5951677146086
"2037/2038",2038,120,120,100,44.2936716862895,0.208049886246277,109.070717481678,101.151332509079,1849.34318070664,1515.5,1325.45667145713,1715.5,1453.5,1634,1453.5,74.0463431527915
"2038/2039",2039,120,120,100,54.7976801673515,3.08469360301842,104.415026154005,107.161444752286,2209.21524893292,1801.5,1390.6068290969,2088.5,1621,2241,1621,74.4414515844201
"2039/2040",2040,120,120,100,44.1520907704055,5.45501919613832,106.463018138428,102.017016254903,1889.41818139213,1533.5,1357.43892411439,1771,1503,1589,1503,71.7163905104771
"2040/2041",2041,121,121,100,47.587787322891,4.86800694157579,106.781195981083,106.17190150739,2057.11084395027,1622,1341.26235146419,1936,1487,1909,1487,72.9326223850776
"2041/2042",2042,120,120,100,53.8846175881633,-1.57328549984245,92.7537212184604,99.0060034802312,2231.2074443305,1990,1838.78861217864,2036,1974,1795,1974,82.305073940277
"2042/2043",2043,120,120,100,44.6691489560067,6.129314591753,102.174272385918,99.8917985401358,1934.56886132821,1596.5,1460.51239476711,1809.5,1518.5,1675,1518.5,75.4251249776498
"2043/2044",2044,120,120,100,35.8379113883964,2.29004791001186,115.469801110479,105.65443257914,1683.00696184274,1158,943.86472566548,1531,1070.5,1533,1070.5,62.5943238099899
