"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.7154000977226,12.6596521465297,111.193119888624,101.711372202765,1766.03121057567,1390.5,1223.08441867386,1609,1368,1560,1368,71.7457863011949
"2002/2003",2003,120,120,100,47.2863542340418,18.9105907275419,108.998456431182,105.380164998771,1963.39318666513,1568.5,1236.89246580072,1840,1431.5,1887,1431.5,67.6691752427342
"2003/2004",2004,120,120,100,32.3495703109269,17.1714008976136,126.616303028006,103.580032120878,1470.46564355359,1003,747.886160271963,1368,861.5,1473,861.5,50.8714812731441
"2004/2005",2005,121,121,100,32.1824478960701,12.4983521473599,125.025430578212,103.436507846567,1424.92247096267,1038.5,808.637670671049,1311,942.5,1236,942.5,51.9900115075802
"2005/2006",2006,120,120,100,35.8283467901187,12.7578822254995,113.142923351994,104.030893609745,1649.68669522084,1213,1021.61375741947,1517.5,1096.5,1466,1096.5,59.6966047860022
"2006/2007",2007,120,120,100,25.473883134617,9.46436698043255,135.478317564104,100.029717099464,1158.97919208088,809.5,617.166717671866,1085.5,722.5,1082,722.5,48.5365406505944
"2007/2008",2008,120,120,100,48.1662218178841,17.4033334492893,105.914848592646,108.074307227863,2037.39698425677,1542,1192.04605927737,1938.5,1332.5,2045,1332.5,69.2158701427009
"2008/2009",2009,121,121,100,24.4364980627676,12.3675526607495,141.12253094986,98.9704179205442,1124.4572314281,804.5,605.746803525519,1038,706.5,1009,706.5,47.1175587667792
"2009/2010",2010,120,120,100,47.9555888445022,18.5795884571168,111.065841695849,104.378169854291,1951.56132160214,1601,1258.82317517713,1820,1428,1906,1428,71.9890808687132
"2010/2011",2011,120,120,100,37.5019044810911,12.9577590726818,111.540668306583,103.024619752748,1690.52413916932,1292,1090.80183172538,1518.5,1273,1314,1273,62.0515918138647
"2011/2012",2012,120,120,100,48.6550031917222,12.5380182762045,108.444245173003,101.888508503854,1920.74587651611,1634,1371.56051667157,1799,1595,1663,1595,73.1935511949928
"2012/2013",2013,121,121,100,30.9775778667466,9.87295801682563,127.936381214651,100.530890587377,1372.19595260659,1018,874.421929309246,1223.5,989.5,1184,989.5,54.8910376954809
"2013/2014",2014,120,120,100,46.3079186062751,12.8451074850226,112.299822787472,105.085975353714,1895.07263810337,1542,1160.10042884603,1815,1370.5,1825,1370.5,71.363577248675
"2014/2015",2015,120,120,100,29.4996976644234,6.85767232236893,121.608651217378,103.956966494547,1403.48612843806,952,768.922769401797,1274.5,864,1212,864,57.3976767486288
"2015/2016",2016,120,120,100,50.4845637091189,15.450107145254,110.539810487152,104.761117863786,1939.33892667222,1603,1236.67931311685,1843,1464.5,1875,1464.5,68.5658128931268
"2016/2017",2017,121,121,100,28.4665219341992,8.94968314140506,125.019386176385,105.271766068714,1331.90808816177,864,687.100435228698,1212.5,778,1226,778,51.289931162697
"2017/2018",2018,120,120,100,52.264496291479,20.0784710051457,109.84716332541,105.531026358391,1996.81514813623,1663,1239.80077400117,1939,1493.5,1978,1493.5,71.6556786945057
"2018/2019",2019,120,120,100,52.9980961721242,14.1179422617038,101.955800172741,104.421911199528,2144.72174645396,1800,1472.56502717004,2050,1666,1985,1666,74.5054797517755
"2019/2020",2020,120,120,100,41.3603701203653,14.8530484709251,119.42786367488,104.800727341961,1701.2624018106,1298,947.798716418081,1646,1137,1664,1137,60.6074355700889
"2020/2021",2021,121,121,100,43.0258295341317,16.6639162234718,119.442589887759,102.287581045576,1669.34111849398,1350.5,1110.96614219694,1529,1283.5,1603,1283.5,65.0128437165013
"2021/2022",2022,120,120,100,45.2037584694059,11.8453609048956,120.10024349738,100.850175546048,1698.54899193307,1459,1130.96636736988,1627,1351.5,1595,1351.5,62.1102871753574
"2022/2023",2023,120,120,100,42.7260102236934,11.3348759271662,110.249681083411,100.491981732567,1773.63502792628,1537,1239.42212795117,1677.5,1409.5,1554,1409.5,68.7876188852047
"2023/2024",2024,120,120,100,41.1033340623843,12.2245095718558,120.724419934301,105.998279687881,1623.20527095253,1226.5,838.369385483747,1513,1076,1638,1076,59.9776779725689
"2024/2025",2025,121,121,100,52.1359409734135,17.2619882013139,102.936037135692,106.3989201427,2166.53190322523,1734.5,1431.74313446958,1993,1630,2014,1630,73.6006638951658
"2025/2026",2026,120,120,100,44.6148911889344,15.8291476582896,112.004846706196,104.900396228792,1788.16328794572,1422,1113.22759681565,1670,1297.5,1680,1297.5,65.3524946486023
"2026/2027",2027,120,120,100,27.240912387549,8.8627153005878,135.101438932651,100.691829921774,1194.86266169389,820.5,604.515011868207,1089.5,721,1125,721,48.6441852073804
"2027/2028",2028,120,120,100,56.4560848295856,15.3545643520699,98.520024888633,101.097164356416,2210.08135903993,1978.5,1710.59148426336,2051,1948.5,1781,1948.5,82.6333467555933
"2028/2029",2029,121,121,100,29.1982563317817,8.13825620542128,130.538028529245,104.128679791858,1298.60660664004,942.5,639.91929597831,1235,800,1227,800,49.02332313425
"2029/2030",2030,120,120,100,35.7018897829781,8.99922664309146,114.955334488679,103.152697841838,1687.26593637816,1225.5,1044.56146697128,1495.5,1146.5,1514,1146.5,66.0612886919507
"2030/2031",2031,120,120,100,21.6104490109125,10.2785685400734,137.207437919066,97.5246728014829,1062.86708303742,729,610.141579576914,975.5,678.5,877,678.5,47.7124625139049
"2031/2032",2032,120,120,100,22.6806635240804,9.44923497688632,131.020540451697,102.707721552385,1150.3559818725,717.5,538.017586838279,1024,619,1019,619,48.6233680385212
"2032/2033",2033,121,121,100,47.1525483713294,13.3933257794529,109.030533577776,104.265074381827,1975.46618038911,1623,1334.82962225765,1845,1510,1763,1510,70.2441158617539
"2033/2034",2034,120,120,100,29.5460080180537,14.0294149419124,126.921828123775,100.271144358956,1405.7933208762,1050,839.646962683284,1280,934.5,1250,934.5,56.9151273665011
"2034/2035",2035,120,120,100,42.0584543332774,10.4666412005958,112.040851811397,101.865814919887,1760.51184788538,1392,1168.07886832053,1626,1286,1585,1286,65.9256795481388
"2035/2036",2036,120,120,100,36.1765492913112,13.5413485412017,110.651407770017,104.193471621123,1726.74428546755,1264.5,1063.97849071409,1572,1175.5,1560,1175.5,64.3182589687931
"2036/2037",2037,121,121,100,43.5740336446706,18.8189624843201,114.694029968351,106.046411961799,1800.31430941052,1390.5,1083.92833361086,1699,1269,1726,1269,64.7695212834169
