"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,46.9969446452048,-4.81004635124397,97.5419563273222,98.9083369645214,2091.3737853515,1782.5,1651.52261063231,1968.5,1789.5,1676,1789.5,82.0868899991247
"2002/2003",2003,120,120,100,54.5966906850584,-4.69762798588494,96.1994589614876,100.00560761608,2231.60614875592,1964,1796.4491461532,2088,1939,1880,1939,81.5170691110597
"2003/2004",2004,120,120,100,52.1598570880976,-2.65260868795646,111.678234174782,102.563091299718,2016.76475524394,1720.5,1404.98080040857,1916.5,1627,1905,1627,70.8634065131297
"2004/2005",2005,121,121,100,42.5905900692214,-6.88144638498043,110.044845451641,103.535154264972,1916.93190383844,1514.5,1317.62985043188,1775,1432,1734,1432,69.0478035626418
"2005/2006",2006,120,120,100,50.6142409262381,-5.12876044309752,98.993241100792,102.393810103986,2149.68053804442,1806,1582.32470651254,1962,1732.5,1822,1732.5,77.1600353655008
"2006/2007",2007,120,120,100,38.1020654586925,-5.91657247628889,118.923445108484,102.112628433709,1694.18089523954,1333.5,1100.7067515161,1562,1241,1498,1241,62.4450069385036
"2007/2008",2008,120,120,100,68.4324277205772,-10.4295297573085,93.0375422259055,102.511845926504,2530.96927395574,2309,1943.5532111071,2416,2221,2335,2221,86.5522979665159
"2008/2009",2009,121,121,100,36.3713394327641,-2.20399203885189,124.080516250457,101.97347867943,1582.66803512772,1199.5,1021.78909579283,1486.5,1140.5,1458,1140.5,63.4449333228224
"2009/2010",2010,120,120,100,58.800451780358,-8.09574473454921,97.2174514138364,100.49746056561,2305.70498547336,2044.5,1841.72624511365,2126,2037.5,1997,2037.5,83.0205706726954
"2010/2011",2011,120,120,100,47.5611956811693,-8.14476245669899,97.913093623041,101.078949991458,2077.66840740993,1741.5,1560.41647068413,1972.5,1621,1833,1621,77.948860344306
"2011/2012",2012,120,120,100,50.0759796646983,-6.65472868391367,94.970642879828,97.9398671766221,2121.43580249003,1881.5,1796.8371676032,1950,1868.5,1674,1868.5,81.9318979073228
"2012/2013",2013,121,121,100,37.7276778562458,-5.34994764219777,112.60158765505,101.282506952873,1762.50163056339,1398.5,1261.98289518942,1601.5,1317.5,1483,1317.5,67.9394435129138
"2013/2014",2014,120,120,100,56.4842278047653,-6.59811871739962,98.91690405393,100.316814086551,2244.84345373315,1996,1785.23464938851,2069,1963.5,1938,1963.5,83.6023243466475
"2014/2015",2015,120,120,100,44.5763630447242,-8.6683162581513,107.083611301449,103.999383939639,1952.47722492905,1552.5,1313.62622857527,1789,1453.5,1756,1453.5,72.847286051498
"2015/2016",2016,120,120,100,57.3425546068664,-5.9535917038937,97.4234687750004,100.212538675054,2274.70200114528,2040.5,1834.63573056921,2128.5,2002.5,2001,2002.5,81.5906493355465
"2016/2017",2017,121,121,100,42.3860688817226,-6.83823017205885,109.875588262706,106.418601216495,1946.09085001877,1423.5,1207.03984799463,1766,1333,1799,1333,70.4227311830982
"2017/2018",2018,120,120,100,64.4157645518202,-8.99085589024258,96.9594451904482,100.511800479106,2357.68619016474,2175,1911.99617006855,2258.5,2124,2173,2124,85.7321298059351
"2018/2019",2019,120,120,100,60.8586824686266,-9.37673478076199,89.6020697313842,98.2751131141025,2387.81595722542,2188.5,2031.68727693071,2237,2203.5,1978,2203.5,86.5922185651034
"2019/2020",2020,120,120,100,56.5710833931863,-7.80491264247649,104.938012675968,102.570268722402,2181.98976023636,1896.5,1594.29436743142,2060.5,1771.5,2118,1771.5,78.9914404147048
"2020/2021",2021,121,121,100,46.8356025306781,-2.25541785067687,104.745509811865,100.411285771305,1983.72036835516,1725.5,1550.8533838415,1796.5,1677.5,1615,1677.5,76.2137859220084
"2021/2022",2022,120,120,100,51.0266140943027,-8.14246280023925,105.10067706104,99.2957590692244,2018.04362210989,1775,1584.99617135049,1919.5,1729,1752,1729,73.932732847873
"2022/2023",2023,120,120,100,47.3291949776845,-5.85200036444746,96.8783660218734,96.4183918061248,1989.04102031983,1787.5,1636.2908793922,1913.5,1721,1644,1721,76.9538170520009
"2023/2024",2024,120,120,100,57.8652971675871,-7.03700684109832,105.773220888937,104.780348747055,2191.38961144417,1851,1495.23361295011,2153,1737.5,2225,1737.5,75.6952813455055
"2024/2025",2025,121,121,100,61.8880195683198,-6.26000597585517,90.5889454470534,100.216413228057,2430.45798564199,2224.5,2012.96235106011,2282,2216.5,2074,2216.5,87.4887256315369
"2025/2026",2026,120,120,100,53.337438413271,-8.55595296398922,98.5583880630563,101.734062147224,2201.17190910864,1914.5,1661.69982470083,2034,1812,1941,1812,80.4343409108988
"2026/2027",2027,120,120,100,39.0591172637092,-6.1341913151809,119.596711414387,102.197722651811,1692.04777414686,1327,1098.1160110686,1549.5,1199,1628,1199,66.5273248076319
"2027/2028",2028,120,120,100,48.6237661502697,-9.52775011261631,86.685788381597,94.7481709627547,2222.83837962267,1949,2058.19640339803,1999,2045.5,1547,2045.5,88.8366578170253
"2028/2029",2029,121,121,100,46.9923614723006,-5.00288690237975,114.365017515286,105.956185767421,1873.08663322791,1483,1174.06872950586,1782,1367.5,1753,1367.5,67.599879184183
"2029/2030",2030,120,120,100,47.3906717787163,-9.17269328143209,101.190710317561,100.611472742465,2035.7504798127,1736,1520.78122371828,1947,1667,1757,1667,79.4859115559075
"2030/2031",2031,120,120,100,31.5691994866239,-1.24385060625199,121.06070475477,99.8633950158423,1490.29462604504,1134,969.835801264126,1409,1040.5,1250,1040.5,58.543183273584
"2031/2032",2032,120,120,100,39.0793071432921,-9.71498275796471,115.345748089342,105.772504584586,1840.17764964618,1307,1072.22537586049,1693.5,1168,1802,1168,66.1410276444494
"2032/2033",2033,121,121,100,55.7738299774168,-8.70165267578484,95.8604097552181,99.74496631047,2273.37328464608,2015.5,1876.2310085709,2073,2023,1857,2023,84.5288886312401
"2033/2034",2034,120,120,100,45.1552845252558,-5.1377594282959,111.571464490025,100.554748504651,1774.25010301944,1518.5,1290.54517905434,1704.5,1436.5,1599,1436.5,71.1471600137429
"2034/2035",2035,120,120,100,50.3652374169884,-11.1875628030926,98.482821022911,98.6942990744484,2103.2105997483,1835,1641.72704083993,1962.5,1778.5,1748,1771,79.4367790459328
"2035/2036",2036,120,120,100,49.3935396004348,-6.29857390292804,97.4938989378302,100.627732072478,2080.82877918266,1818,1570.21674740713,1999.5,1716.5,1874,1716.5,77.4411291004362
