"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,45.2567695259548,3.24481112680547,102.197409619592,100.76150128522,2003.24103602752,1647,1498.69565861561,1853,1564,1639,1564,77.4911727956344
"2002/2003",2003,120,120,100,53.5671027957899,7.40941653970634,100.659039564206,102.114784076503,2146.72718650087,1829,1610.41254634865,1970.5,1789.5,1862,1789.5,76.2042676203474
"2003/2004",2004,120,120,100,47.1479154860835,9.44998750866977,116.615195170165,103.729584561047,1854.71649308433,1505.5,1154.86418695249,1746.5,1367,1816,1367,64.4166855079884
"2004/2005",2005,121,121,100,39.637732219689,4.0996761860731,115.097061406767,104.209493970383,1748.06314286839,1338,1117.08464634768,1589.5,1234.5,1547,1234.5,61.7381362624791
"2005/2006",2006,120,120,100,47.1591050616529,5.46511453092292,103.810507864002,103.705965709824,2026.5326079554,1643,1390.20652308434,1867,1562,1854,1562,71.9422102507881
"2006/2007",2007,120,120,100,34.4792993010629,3.42495004130141,124.679376671085,101.799446630664,1512.55910260226,1151.5,929.63782794345,1378,1044,1447,1044,57.2517828303194
"2007/2008",2008,120,120,100,63.0133957250429,4.47569858828328,97.3821723248081,105.290405594631,2418.69658999195,2122.5,1675.13607562164,2347.5,1964.5,2365,1964.5,81.353459009244
"2008/2009",2009,121,121,100,31.50289958508,7.43675389990667,129.619499988986,101.870640526246,1433.11213573426,1049,834.967026022343,1322.5,962.5,1322,962.5,56.7036581338998
"2009/2010",2010,120,120,100,56.4774843753357,8.03145801545024,101.607003228756,103.113481607253,2245.48280662949,1954,1620.11525369535,2123.5,1883.5,2029,1883.5,79.0301675031035
"2010/2011",2011,120,120,100,46.9511295640683,3.20072158405588,102.379657470527,102.829537094733,2016.09579052345,1579,1418.25124447214,1830,1562,1635,1562,73.0767784932791
"2011/2012",2012,120,120,100,52.312373290346,2.92656967522322,99.5951026453902,99.8545268106225,2079.69413516225,1778,1666.83429666814,1944,1793,1785,1793,78.3039519387326
"2012/2013",2013,121,121,100,35.6391802216183,3.01177097163321,117.815750399448,101.717580598114,1633.99224382467,1232.5,1100.8504698291,1479.5,1179,1417,1179,61.992187085139
"2013/2014",2014,120,120,100,56.0612827546993,4.15203409048459,103.655353516424,102.228154571275,2140.38297491838,1854.5,1587.94650244444,2020.5,1792,1986,1792,78.8141709872662
"2014/2015",2015,120,120,100,39.5043661682708,-0.268270132882374,112.11309053724,104.646003441335,1781.03009639923,1346,1110.3110437978,1640.5,1241,1651,1241,66.9328943871387
"2015/2016",2016,120,120,100,57.3708542575569,5.07252937163435,101.905859430234,102.300109469414,2184.149332904,1906,1639.42978113296,2082.5,1847.5,2058,1847.5,77.7438429871759
"2016/2017",2017,121,121,100,37.3229804721512,2.75347294295461,115.084152545767,106.578741445743,1732.28032595271,1215,988.033277490496,1633.5,1128.5,1567,1128.5,63.3480791175352
"2017/2018",2018,120,120,100,64.6512793067604,6.91686394054314,101.278815491463,103.063958175193,2286.48431883434,2051.5,1697.05624924919,2200,1956,2251,1956,80.8719793535565
"2018/2019",2019,120,120,100,61.2917813190183,2.86049771618434,93.8147768230177,101.246364448084,2356.6400943198,2075,1866.34903348546,2198,2035,2088,2035,83.031488520558
"2019/2020",2020,120,120,100,52.6994056322718,3.8945664100908,109.826123658149,104.006295919536,2037.22255028202,1662,1356.54966314917,1953.5,1551.5,2097,1551.5,73.0891396233728
"2020/2021",2021,121,121,100,44.9546228938832,8.73049726019686,109.783027687896,101.580171328236,1870.10966934897,1568.5,1381.35717141972,1742,1502.5,1693,1502.5,71.5638782189053
"2021/2022",2022,120,120,100,51.459296827498,3.74434106942095,110.035287314019,100.839130455542,1939.19384836189,1697.5,1418.08298501442,1865,1634.5,1798,1634.5,71.1988807273065
"2022/2023",2023,120,120,100,46.7507450159462,1.82696867072545,101.714448429779,98.1057180172459,1919.58835206166,1699,1497.74711717843,1833.5,1617.5,1613,1617.5,74.7557877539521
"2023/2024",2024,120,120,100,53.0621437652234,4.37112365897961,111.038655849714,105.726177861576,1996.07129329428,1630,1247.44566663772,1956,1487,1982,1487,69.0242714580072
"2024/2025",2025,121,121,100,59.1003836001843,6.25241941588534,94.8296431073104,103.159926132754,2381.59287483848,2083,1793.89990056334,2214,2009,2079,2009,83.8488760236442
"2025/2026",2026,120,120,100,52.1834880341573,5.68958195880071,103.11403328159,103.54096857762,2091.9923022197,1763.5,1476.46084860673,1989,1654,1962,1654,75.9333219237151
"2026/2027",2027,120,120,100,33.1434425019966,2.16710927435189,125.059423049084,101.777313084214,1495.26589688772,1073,893.166265520267,1376,978.5,1422,978.5,59.2235838452989
"2027/2028",2028,120,120,100,54.9870627349015,4.1223643738203,90.6332315563417,97.5468109415472,2288.62833066544,1975.5,1988.6078171354,2034,2079,1713,2079,86.5458957918327
"2028/2029",2029,121,121,100,41.2326385385627,5.05916299110094,119.793829908987,106.186567482775,1654.91375202461,1245,941.977568798146,1534,1128,1577,1128,60.492318836873
"2029/2030",2030,120,120,100,42.3833413318978,2.40308332465833,106.091923893234,102.021517066583,1917.84468005263,1522,1335.01866131244,1764.5,1436,1639,1436,73.518566728645
"2030/2031",2031,120,120,100,28.4589895788458,5.99344722735762,126.62763619053,99.2681585633571,1328.13917263283,974.5,840.419436871074,1221,890,1161,890,52.9204297260367
"2031/2032",2032,120,120,100,33.9018345112671,4.70157185587079,120.658322838105,105.50717003072,1603.57914692388,1035.5,845.297574016557,1477.5,919.5,1626,919.5,58.233838491743
"2032/2033",2033,121,121,100,55.3345735883395,2.57105991986242,100.414157552546,101.98798627689,2231.78253354441,1910.5,1714.07890623284,2059,1882.5,1978,1882.5,81.8838790708814
"2033/2034",2034,120,120,100,39.7238685509184,6.83145106646952,116.509083645235,101.737156098547,1676.11704530439,1339.5,1112.5364487271,1552,1269,1536,1269,66.4078731519303
"2034/2035",2035,120,120,100,47.7286886345328,0.407727346913993,103.202559707723,100.515282487352,2029.16325283021,1713,1473.82529941242,1875.5,1641,1796,1641,74.5649493620795
"2035/2036",2036,120,120,100,45.9349102327289,4.15692069887151,102.104634331085,102.179786661131,1962.67316761936,1628,1400.84517812618,1853.5,1507,1739,1507,72.9049528972446
"2036/2037",2037,121,121,100,50.9386068452027,9.96646133882176,105.736553247606,104.818195719362,2106.39251080342,1705,1452.14085511438,1954.5,1598.5,1950,1598.5,74.3904008969967
"2037/2038",2038,120,120,100,47.001879638934,0.892194254463818,105.574884195911,100.780626681158,1949.37315970776,1609.5,1430.47989697638,1809.5,1588.5,1643,1588.5,75.6202818450602
"2038/2039",2039,120,120,100,61.8331921137375,4.10171577652157,101.083287878607,105.64137812617,2330.07069377819,2045,1606.08864812672,2217.5,1872,2281,1872,77.9244748084802
"2039/2040",2040,120,120,100,49.3765853460646,7.37129872364631,102.343836033428,102.69813324338,2062.48326397798,1704.5,1502.93747603413,1882.5,1646,1789,1646,76.1612651219275
"2040/2041",2041,121,121,100,51.4916018865807,6.74789668810418,103.210427243844,105.704693144791,2179.8507371069,1769,1477.7524176692,2073.5,1653,2044,1653,76.1917973766358
"2041/2042",2042,120,120,100,57.8080782497775,0.256482144268137,89.3092955117876,98.225765392976,2366.25361080424,2150.5,2005.04434811848,2169,2189.5,1815,2189.5,86.2052696823357
"2042/2043",2043,120,120,100,46.2460452588456,7.58772243530547,98.716504822463,99.0495679475341,1998.19224325093,1741,1538.16566904166,1865,1691,1596,1691,77.6881830617313
"2043/2044",2044,120,120,100,42.5378874254182,3.69572477929596,111.37449076355,106.560818178132,1877.11661549285,1415.5,1095.32239036175,1735.5,1251,1750,1251,68.8338542532747
"2044/2045",2045,121,121,100,60.8166446062031,6.62933358221305,97.4958957579679,104.658178103585,2373.88856889802,2053,1726.7087734559,2227,1977,2238,1977,81.990945588268
"2045/2046",2046,120,120,100,34.4683675000006,0.714245087369355,120.212154671071,104.386486451109,1601.07439195568,1179,902.56800374703,1472.5,1040,1533,1040,59.879898359377
"2046/2047",2047,120,120,100,53.9721929721525,1.46575975027983,102.697407807437,102.233085024523,2138.21765523736,1860.5,1572.39091586441,2033,1782,1996,1782,77.2917452320889
"2047/2048",2048,120,120,100,48.8725819119,2.73920617370535,100.180773597674,102.239315147962,2114.28198313212,1717.5,1543.59145139562,1984,1662,1877,1662,76.7262905623829
"2048/2049",2049,121,121,100,50.7243042436725,0.0813821243265616,113.397042433332,101.824199996208,1985.97461781406,1690.5,1413.78785617452,1849.5,1632,1794,1632,69.6163165435792
"2049/2050",2050,120,120,100,53.9033783315406,6.19892101649154,108.422277962915,106.845585640006,2045.8106828325,1687,1261.93539623648,1957,1525.5,2013,1525.5,70.3613415446016
"2050/2051",2051,120,120,100,40.4674702028628,1.03067922640082,114.176802371228,105.263890587207,1830.12288527424,1322,1064.58656869677,1719.5,1238,1695,1238,65.1552074289357
"2051/2052",2052,120,120,100,46.1047612820109,4.148660760689,108.087308948572,102.237444005455,1931.80247806327,1574,1362.23550653359,1781.5,1514,1712,1514,71.7946600178566
"2052/2053",2053,121,121,100,62.0748004689234,7.77220410469163,96.0151835583481,100.383232971491,2343.39685707702,2117.5,1915.23088518885,2189,2064,2027,2064,85.8673074502094
"2053/2054",2054,120,120,100,59.5754749371669,14.6860242344872,100.993194386434,99.5612817713274,2214.02899952076,2048.5,1795.20103910536,2079,2013.5,1963,2013.5,78.7091416584772
"2054/2055",2055,120,120,100,61.5784062444917,6.16670871388228,97.2920804174815,104.241833972465,2345.26881669118,2078,1689.6775578575,2267,1968,2230,1968,81.669537220303
"2055/2056",2056,120,120,100,59.3770939527955,5.61028764224258,103.061050752794,104.823890285838,2215.5157232834,1975.5,1486.3041188377,2171.5,1759.5,2195,1759.5,76.7309360911349
"2056/2057",2057,121,121,100,49.1539259534249,2.47758025286395,99.2464838238433,99.7624591919095,2136.05201700708,1840,1709.69425882027,1946.5,1782.5,1715,1782.5,81.1346946186586
"2057/2058",2058,120,120,100,47.7308955724805,7.87784299543379,105.34457372623,102.791602733876,1908.6871969843,1621.5,1297.60562378631,1819,1489.5,1759,1489.5,69.1346634562888
"2058/2059",2059,120,120,100,55.3696093007306,7.06837977356194,105.313386281295,107.226792489555,2167.45340071974,1776,1361.28470966854,2048.5,1611.5,2223,1611.5,75.3748161846779
"2059/2060",2060,120,120,100,49.5761122864519,2.87806435538963,117.117521153161,102.317464456062,1945.61994930235,1633.5,1263.97518928986,1831.5,1464.5,1870,1464.5,70.5590696134168
"2060/2061",2061,121,121,100,45.2441837342494,5.07544103608285,112.957117766391,104.12543345552,1886.39119641512,1517.5,1250.97168320432,1761,1413,1754,1413,66.1582309040878
"2061/2062",2062,120,120,100,59.3877760527119,2.37338151830531,92.66326353609,98.5831678721349,2343.39984146587,2130.5,1988.75993551291,2169.5,2110,1938,2110,87.9392626445315
"2062/2063",2063,120,120,100,47.283342198123,-0.46731740387031,115.633317014946,100.992548199732,1846.47858343308,1555.5,1289.43734540395,1721.5,1466,1689,1466,69.9243619213648
"2063/2064",2064,120,120,100,43.1142344849137,6.56239320106998,105.056683555606,102.107588086409,1918.03364222334,1536,1335.25604914501,1758.5,1437.5,1685,1437.5,70.7987159005625
