"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,42.4806355141657,2.04077991467586,109.120885360421,101.521018384517,1829.54294639531,1434.5,1297.21524872883,1674,1402.5,1589,1402.5,71.8986166550309
"2002/2003",2003,120,120,100,50.2546998357029,8.70877913272029,107.190835815251,104.276394415961,2025.49293045685,1651,1361.65213213506,1878.5,1575.5,1891,1575.5,68.9921911481865
"2003/2004",2004,120,120,100,35.0178340705529,8.79626720014427,123.956155141997,104.52541947672,1585.60860843536,1120,831.94670246231,1495,969,1570,969,53.7052849604888
"2004/2005",2005,121,121,100,34.0347101002901,7.68332726812143,122.398606043995,104.426453693272,1526.139321175,1099.5,878.100454608168,1419.5,1001.5,1430,1001.5,55.1062674342735
"2005/2006",2006,120,120,100,39.6347886928302,6.56994812627765,111.003170257024,104.11727111813,1808.86744528401,1401,1139.77168173666,1698,1288.5,1615,1288.5,66.0445761990474
"2006/2007",2007,120,120,100,30.0224197412774,3.51718865216087,133.09623359529,100.60570012418,1288.90723097874,925,725.549826772422,1207,825.5,1245,825.5,50.0609788687052
"2007/2008",2008,120,120,100,51.6583274216942,6.43336493936206,103.86441836625,107.872097967367,2171.95902072264,1681.5,1315.66319065883,2048.5,1519,2172,1519,72.1843044142854
"2008/2009",2009,121,121,100,25.7414852451813,7.67117928404072,137.619322444663,101.030924905691,1205.83874169343,822.5,624.689514862755,1126,717,1154,717,50.1015992321691
"2009/2010",2010,120,120,100,49.0384441165589,9.68430654594093,108.217288746974,105.289219513012,2049.85731569569,1652,1319.05668997756,1921.5,1498,1985,1498,73.6163929015897
"2010/2011",2011,120,120,100,44.105421198887,9.65890612636401,108.850022864985,104.310796932582,1903.68816614411,1467.5,1232.99027618923,1768,1425.5,1694,1425.5,67.6229423378895
"2011/2012",2012,120,120,100,50.2569936202083,3.79063704113102,106.269875870781,101.552221924051,1979.64935044635,1665.5,1462.51754879303,1816.5,1640,1745,1640,72.5674542257407
"2012/2013",2013,121,121,100,31.3005582038925,5.30733607172585,125.805291285878,101.07175024381,1445.51511078567,1054.5,920.152561201307,1310.5,1002,1237,1002,57.2468218471599
"2013/2014",2014,120,120,100,52.3842006677637,5.68222076979818,110.396875003657,104.040799875976,1979.22569573553,1650,1316.24277077134,1891.5,1538.5,1921,1538.5,73.6855358471344
"2014/2015",2015,120,120,100,32.2382164633051,1.13516710196029,119.412438847724,104.320927234766,1537.71607842373,1086,870.873263090325,1420,1001.5,1346,1001.5,59.7135497129211
"2015/2016",2016,120,120,100,53.4169823550516,7.21313661086335,108.574187870987,104.247714251382,2016.25354429966,1674.5,1356.55638323236,1897,1560,1940,1560,71.4337335908576
"2016/2017",2017,121,121,100,31.2129057142294,3.01799247257797,122.688618197047,105.941477813549,1459.85325964674,961.5,766.462745943631,1330,880.5,1319,880.5,56.2124061400468
