"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,45.7966861570795,12.9493157271694,97.4139440384507,99.6191364666946,2039.91315339105,1746,1571.30496942602,1915,1670.5,1640,1670.5,81.6675852598364
"2002/2003",2003,120,120,100,57.085133225149,17.5910285426962,95.8311524520905,101.298192478218,2266.70972985402,1965.5,1762.21824553069,2096.5,1948,1976,1948,80.5734206406111
"2003/2004",2004,120,120,100,50.8582223076017,17.3755796430013,111.002029634364,103.818765279048,1963.37304257363,1670,1291.63609721165,1870.5,1493,1878,1493,70.0559990926924
"2004/2005",2005,121,121,100,42.4286271612161,13.6231856170473,109.623245454865,104.320555759478,1868.30970470265,1477,1236.88807450715,1699,1358,1639,1358,67.2751626415933
"2005/2006",2006,120,120,100,46.962762856081,13.8461620192143,99.41557057245,102.473801341918,2046.878717298,1642.5,1468.08709167476,1855.5,1596,1795,1596,74.1190713103978
"2006/2007",2007,120,120,100,36.9062699713965,12.9137326135349,118.830650675975,102.516414652211,1624.181481862,1222.5,1018.46073036233,1469.5,1136.5,1459,1136.5,59.8562919118342
"2007/2008",2008,120,120,100,64.4721419272706,15.2309349200608,93.0629937002583,103.386530491424,2454.65633306214,2167,1817.43060343964,2332,2067.5,2293,2067.5,84.3695757680434
"2008/2009",2009,121,121,100,33.7819857839311,11.5283805606728,123.738313955819,101.883667029516,1494.08249917388,1114,941.283817395921,1367,1050.5,1359,1050.5,60.7120923321172
"2009/2010",2010,120,120,100,57.5162403970025,13.4505425215481,97.1598415483999,101.29856331739,2280.52985618498,1994,1758.92753683417,2120.5,2000,1985,2000,82.9611424722025
"2010/2011",2011,120,120,100,47.1852905714018,12.5753346073609,97.8474469800098,101.652889299183,2067.08815579419,1645.5,1531.86922988817,1936.5,1600.5,1825,1600.5,76.209751926833
"2011/2012",2012,120,120,100,50.8258965897222,9.42943658394514,95.2288175476761,98.3935153082441,2079.50095472652,1856.5,1717.12464850625,1969,1841.5,1739,1841.5,79.7912822317148
"2012/2013",2013,121,121,100,35.8750710433163,12.3666340354885,112.656140721541,101.201476940065,1687.61161511624,1298,1184.45641308187,1565.5,1248.5,1453,1248.5,65.8892115691915
"2013/2014",2014,120,120,100,57.2616771611087,16.3419933497275,98.7791229240983,101.368511110003,2222.44068546582,1941.5,1716.07692264524,2059.5,1904.5,2002,1904.5,83.2477669957516
"2014/2015",2015,120,120,100,42.3434661390675,11.9724899382223,106.67454760652,104.843801942596,1907.22186545226,1471.5,1226.13501189054,1755,1345.5,1774,1345.5,71.7448422091034
"2015/2016",2016,120,120,100,58.0840522575233,17.3269423149562,96.9980316486036,101.66355697708,2255.68205838988,1991.5,1741.49853438568,2120.5,1931,2030,1931,80.9629054362595
"2016/2017",2017,121,121,100,41.652584326659,12.6275788948678,109.728188731502,106.985989270644,1888.91912518392,1366.5,1129.09652481846,1745,1244,1787,1244,69.273689328832
