"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,44.8046839142714,-2.56884800693867,104.1800178472,100.531405521349,1953.91149466625,1636.5,1467.17509404455,1801,1553,1642,1553,78.4432047385725
"2002/2003",2003,120,120,100,54.6791317548758,-0.0395187613528235,102.217845780358,103.061279777763,2180.70298761096,1852.5,1579.54491177978,2036,1810,1929,1810,77.2048725457331
"2003/2004",2004,120,120,100,44.0589760481495,1.03527263618049,119.208227943924,103.886234204621,1801.36654573779,1431.5,1094.78914785613,1692.5,1290.5,1768,1290.5,63.7294727039344
"2004/2005",2005,121,121,100,38.2213878913531,-2.88820003550114,117.399047768451,104.087259355762,1709.52545144119,1266.5,1073.30166969485,1578,1194,1553,1194,61.1985492546454
"2005/2006",2006,120,120,100,40.8499000146435,-4.49332284537129,105.899186324473,103.736943592633,1933.38534196119,1480,1292.12525081349,1763,1408.5,1700,1408.5,70.6882063113324
"2006/2007",2007,120,120,100,31.7585438050681,-4.25188734697087,126.869540709537,101.959022537873,1446.94357165995,1032.5,851.847786991766,1288,967.5,1283,967.5,56.2278314082239
"2007/2008",2008,120,120,100,59.0353424519099,-3.5984737976469,99.3220559019465,105.535997885412,2360.16520476319,2015,1605.67025088716,2268.5,1849,2297,1849,80.087741835835
"2008/2009",2009,121,121,100,29.9366935555145,3.7637264627563,132.876906458614,100.704025550606,1370.28940038093,981.5,816.002710654175,1263,928,1227,928,54.9366401048446
"2009/2010",2010,120,120,100,54.3626672311754,0.441605568941719,104.425272916475,102.107966987551,2182.08493345343,1906,1595.65252626826,2055,1845.5,1937,1845.5,79.2463253701924
"2010/2011",2011,120,120,100,41.4498428818148,-9.38535649402924,104.735839682844,102.532379618126,1891.06880814691,1396.5,1312.01975244556,1741,1406,1575,1406,71.1930634480091
"2011/2012",2012,120,120,100,51.5662711630063,-3.0116567487829,101.607061285345,99.9533692056313,2042.97469822464,1768,1619.92324231833,1923.5,1768.5,1769,1768.5,78.0545299620203
"2012/2013",2013,121,121,100,34.8380612109198,-0.0766898361254904,120.277546770659,101.222043450912,1579.34529604269,1205,1080.67850455615,1442.5,1162.5,1308,1162.5,62.4448019278038
"2013/2014",2014,120,120,100,55.009698118785,-6.51654780674901,105.17912116307,103.32588597569,2137.512485642,1823,1520.70940350626,2003.5,1755,1986,1755,79.444565261032
"2014/2015",2015,120,120,100,36.8540769333467,-5.17787730736618,114.194706447867,104.66461640089,1714.06011289328,1247.5,1044.13705096955,1596,1158.5,1609,1158.5,65.5852654253076
"2015/2016",2016,120,120,100,56.5547866512106,-1.79568797344727,103.694353111539,102.930528475128,2157.23283101879,1859.5,1580.55669820253,2047,1784.5,2003,1784.5,76.6112971989232
"2016/2017",2017,121,121,100,35.4594039753631,-0.541427974548994,117.39059496814,106.376246340839,1679.92088192457,1186.5,957.023392070274,1565,1078,1540,1078,63.1590536503645
"2017/2018",2018,120,120,100,60.8127445759055,-2.52107776507379,103.270956985364,103.173621644658,2219.859732963,1953,1614.59276201013,2131,1879,2105,1879,79.1107909011853
"2018/2019",2019,120,120,100,58.7420168893635,-6.12097773848671,95.7569734846014,101.559250733805,2321.46233724321,2055.5,1803.40995980552,2158,1989,2016,1989,82.4445022886043
"2019/2020",2020,120,120,100,50.6874682645762,-4.03278820666302,111.934181775423,103.985242521874,1982.39727726716,1609.5,1302.76643452226,1885,1498.5,1996,1498.5,72.1406235527697
"2020/2021",2021,121,121,100,47.4041717547659,0.727653295165434,111.81752120371,101.523780717551,1861.28594093795,1602,1372.85809250681,1744.5,1533.5,1638,1533.5,71.6022371077993
