"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,44.0739634965055,15.8410094366669,96.4343522171181,98.8315985115963,1949.22201117514,1678.5,1516.69358175605,1843,1587.5,1632,1587.5,79.1809982648018
"2002/2003",2003,120,120,100,59.5213324873499,18.6570707223535,94.3058586990935,101.619032108636,2332.67756838884,2017.5,1818.50132726307,2161.5,2029,2028,2029,82.1938263178079
"2003/2004",2004,120,120,100,50.7917492484855,24.5162273253155,109.256379826555,104.067412752299,1972.22255248233,1665,1297.5722511697,1853.5,1519,1889,1519,71.3537708680911
"2004/2005",2005,121,121,100,41.4690761841813,13.3217975063305,108.323178806396,104.257546734034,1854.85543685011,1475.5,1225.12615681225,1734.5,1367,1579,1367,67.6752390216039
"2005/2006",2006,120,120,100,41.5804378811564,14.1569512027576,98.5090085275377,101.420958976995,1962.29476492787,1573,1395.88635276145,1805,1484.5,1706,1484.5,72.312502013762
"2006/2007",2007,120,120,100,35.6062887418953,13.432584608568,116.980075406612,103.460209852965,1648.63388054133,1165.5,1002.56847573573,1464,1071,1529,1071,59.679858001932
"2007/2008",2008,120,120,100,59.7941160755039,18.3776966083274,92.2332761004418,102.2412324504,2369.37935761295,2042.5,1784.68733115265,2256,2000.5,2117,2000.5,83.5431124463807
"2008/2009",2009,121,121,100,31.285718123004,12.985811629119,122.759602751234,101.140532690261,1463.24371430028,1057.5,945.384361727141,1301,1021.5,1257,1021.5,59.3042722038058
"2009/2010",2010,120,120,100,55.0339094291138,17.7960491876858,96.4453726787734,99.9804431166442,2225.17657513952,1949,1764.5105145813,2066,1940.5,1858,1940.5,82.2890105934173
"2010/2011",2011,120,120,100,43.3068129263193,11.542251755515,96.8819323697441,100.948398396776,2021.56495590499,1604,1508.90574446477,1878,1522.5,1765,1522.5,75.8130018851293
"2011/2012",2012,120,120,100,49.9058683799974,13.9959224838923,94.6021999930565,97.0730123605555,2010.52942533632,1821.5,1677.31144238915,1916.5,1810.5,1699,1810.5,77.9487515451906
"2012/2013",2013,121,121,100,35.4480706333848,14.0918288243836,110.966852480731,101.376810566469,1681.59225293681,1287.5,1184.55294947585,1541.5,1233,1357,1233,66.6703428141368
"2013/2014",2014,120,120,100,57.6641272990998,13.3324940657551,97.3468626610338,101.451876157697,2227.18914165683,1979.5,1714.85610153113,2042.5,1905.5,1887,1905.5,83.9108122294347
"2014/2015",2015,120,120,100,42.9213023832565,11.2184294581755,105.298616790858,104.953827339797,1958.91872273914,1540,1255.78798709864,1819,1411.5,1790,1411.5,72.1421347463493
