"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,46.7591540441904,9.73841235054388,85.9574824594029,94.0323557580025,2092.59178359214,1899.5,1825.10800863341,2001.5,1877,1674,1874,82.2141942440327
"2002/2003",2003,120,120,100,55.1228631721289,3.04812836546506,84.6172167185068,94.6264434384599,2278.65869015667,2150.5,2078.21125013062,2194,2187.5,1747,2187.5,87.8218011857599
"2003/2004",2004,120,120,100,51.0917780278492,5.10321851913771,98.444710175656,98.8645456041115,2107.45858558154,1822.5,1714.1489288208,1928.5,1901.5,1658,1901.5,80.2456539897764
"2004/2005",2005,121,121,100,47.717771395103,4.76953754587411,97.2272931800029,100.331209487915,2052.75105713037,1797.5,1597.87098479477,1943,1725,1755,1725,77.4892218800794
"2005/2006",2006,120,120,100,50.206642418595,8.19118423683424,87.5287825834354,97.2692505862345,2179.55653377198,1955.5,1781.20758589086,2081.5,1915,1712,1915,82.340109305163
"2006/2007",2007,120,120,100,43.1636317927617,6.33959318295541,104.571827311591,101.784947454475,1985.13541672283,1636,1399.47585681462,1889.5,1535,1750,1535,73.7476045987332
"2007/2008",2008,120,120,100,57.8555203056998,6.25020504719371,82.3608118928594,95.0524103989573,2416.67124967202,2294.5,2175.56160670273,2275.5,2314.5,1893,2314.5,89.4702452573179
"2008/2009",2009,121,121,100,34.8348069326557,5.26006713183531,110.36165411198,99.0874863006266,1650.82896265862,1371.5,1221.13997704138,1523.5,1297.5,1315,1297.5,67.3132934832743
"2009/2010",2010,120,120,100,47.7579862092499,3.85201843083947,86.3477551450706,93.800419836635,2141.88449896401,1991,1985.01548140989,1952,2018.5,1462,2018.5,85.6229391553125
"2010/2011",2011,120,120,100,46.5338157808344,2.64289959421466,87.0462129062085,95.2642083774425,2054.80964226458,1927,1600.32133349036,1974.5,1762.5,1730,1747.5,77.2570750925515
"2011/2012",2012,120,120,100,43.522638393061,4.80867056477525,84.1057289834299,92.1624244965674,2032.71526000739,1880,1834.03070732159,1894,1861,1442,1861,80.8750729170251
"2012/2013",2013,121,121,100,39.274240955343,5.37160998513319,98.9826339173745,99.2742702938826,1920.16765113616,1572.5,1487.10713331671,1792,1552,1477,1552,75.7186739057947
"2013/2014",2014,120,120,100,53.0674621051038,6.90066845133575,87.1182772903341,95.4073509669457,2236.87606747684,2065.5,2010.1430861634,2105,2113,1735,2113,88.5287978298797
"2014/2015",2015,120,120,100,52.6485014883518,2.89491579193728,94.1857077968657,101.004825762454,2226.69521546979,1895,1683.09041797985,2062,1831.5,1871,1831.5,79.9356573137288
"2015/2016",2016,120,120,100,52.8618343898868,6.06087520420461,85.6931290088255,95.4685798000794,2306.07246326956,2137,2064.28018168459,2126.5,2155.5,1693,2155.5,88.2746960919762
"2016/2017",2017,121,121,100,53.0987748238323,5.31723610091479,96.7470877421383,103.609434805722,2283.36318570703,1897.5,1673.51710171117,2143,1826,2007,1826,82.6917799879648
"2017/2018",2018,120,120,100,52.187739587078,4.53985217996547,85.6269736154406,94.7074876500361,2245.55068055924,2103.5,2025.49493549635,2078,2108.5,1699,2108.5,87.3926736641515
"2018/2019",2019,120,120,100,52.0501542494481,0.953634511578764,79.0336962233757,91.393424623378,2285.93658047442,2181.5,2165.27426253869,2106.5,2220.5,1594,2220.5,90.0902922166788
"2019/2020",2020,120,120,100,52.9659202467256,8.04333974126975,92.6354809316132,97.7873596251833,2199.92308298043,2009.5,1840.67832015817,2056,1952.5,1797,1952.5,85.0939051017567
"2020/2021",2021,121,121,100,41.9342657205851,7.37998198669967,92.4348137736307,96.4596418856641,2013.27161089101,1757,1768.23077788488,1800,1787,1379,1787,81.6707908624812
"2021/2022",2022,120,120,100,42.4010063516978,2.62165492189901,93.436537177434,93.846613367437,1925.83749659255,1728.5,1710.42407560001,1764,1762,1347,1762,76.9724274109722
"2022/2023",2023,120,120,100,43.6838791989041,6.16673776160806,85.2143224036034,91.7175837222477,1976.78901457728,1791,1721.06715558266,1851.5,1817,1466,1786,79.4112616582079
"2023/2024",2024,120,120,100,57.6854738489478,7.25482222139265,93.2191257886817,100.867904468461,2428.54466875896,2143.5,1917.50987203069,2223.5,2087,2070,2087,84.6206354855212
"2024/2025",2025,121,121,100,53.9333142737224,5.62473084588902,80.1650434255898,92.5564676252335,2269.092411144,2236.5,2109.86044210602,2124.5,2196.5,1602,2196.5,89.1023725579535
"2025/2026",2026,120,120,100,54.7387882387374,4.6906688338582,86.7082519172972,97.5131872373373,2333.29701908014,2116.5,1943.72478492348,2145,2055.5,1862,2055.5,85.2569449661814
"2026/2027",2027,120,120,100,42.1505483028504,5.88974614720524,105.276855165451,100.183476108808,1924.34295266325,1603.5,1433.65107734091,1787,1543.5,1607,1543.5,74.4013571644509
