"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,52.8306104094881,267.002898242277,72.5479331104723,95.9558375730343,1906.54860147976,1652.5,1520.08191719092,1768,1622.5,1550,1610,83.901657556348
"2002/2003",2003,120,120,100,45.2820450436179,233.043930226437,73.1605011997222,95.5001003098591,1815.12964010147,1558,1420.13091691836,1657,1526,1440,1495,78.7394371947116
"2003/2004",2004,120,120,100,48.4192250879357,208.438271603886,87.2334672962869,99.0694277089022,1682.17225279693,1410.5,1269.55881400385,1551,1347,1414,1346.5,76.3398011683282
"2004/2005",2005,121,121,100,47.946901282267,231.959268817313,83.5057514165993,101.098690941368,1774.04568031024,1432.5,1229.10179282227,1639.5,1359.5,1488,1346,76.7851599567417
"2005/2006",2006,120,120,100,52.4238593668409,263.957688387479,73.4529333313659,98.9173400315792,1924.62541071809,1663.5,1487.69040380654,1802.5,1625,1611,1617,83.382086088698
"2006/2007",2007,120,120,100,37.2831047634798,190.080605747717,92.6650941924674,97.9064236693949,1414.28039818476,1172,1046.89601248207,1303.5,1123.5,1114,1120.5,69.4527536463129
"2007/2008",2008,120,120,100,66.9377303067853,272.293495474339,70.7005906275317,99.0338228113525,2198.13530405592,1951,1731.25755462581,2059.5,1909.5,1820,1899.5,87.0610785175973
"2008/2009",2009,121,121,100,43.3114985376766,198.047171222278,95.2100875898539,102.098915958075,1512.55376444869,1171,980.922068548834,1424.5,1092,1295,1089.5,72.1828269428227
"2009/2010",2010,120,120,100,63.7305381518684,282.378401055494,72.5331262915144,99.6627065622912,2087.40541405908,1806.5,1560.25927414456,1974.5,1740,1781,1733.5,84.7826768480561
"2010/2011",2011,120,120,100,49.5513961500883,252.216034722527,73.2335935309695,97.7170222785091,1867.278403957,1648.5,1460.19374127163,1751,1605,1516,1591.5,82.2057103213401
