"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"1990/1991",1991,120,120,100,32.903776683087,167.84679981091,95.3432845102746,100.949208333333,1389.227063194,1030.5,883.91139166312,1279,950.5,1202,948.5,61.6119292969211
"1991/1992",1992,120,120,100,41.6422331691297,202.994499692972,87.9250570306257,103.122666666667,1549.68909321936,1186.5,999.242392183226,1441.5,1087,1383,1085.5,71.4547943232621
"1992/1993",1993,121,121,100,26.6182266009852,174.65794824212,84.4431634008232,50.9814583333333,1786.34203626248,1499.5,1324.94791209219,1688.5,1421,1514,1420,79.11453381108
"1993/1994",1994,120,120,100,0,50.2808977153593,85.4311849454094,0,1851.17205524162,1590,1386.70573614712,1736,1520,1610,1515.5,77.8844644332988
"1994/1995",1995,120,120,100,0,95.6531907692374,75.215844726785,0,1840.18628833852,1570,1503.48271952882,1708,1570,1397,1561.5,81.2270774716743
"1995/1996",1996,120,120,100,0,98.0822345535323,99.112866742945,0,1273.99434317329,839.5,694.20325731765,1151.5,748,1101,748,62.9765290423107
"1996/1997",1997,121,121,100,0,73.3938836960166,97.0846878613041,0,1530.84056225973,1269.5,1037.21080468596,1440,1167,1340,1155.5,69.5624594258222
"1997/1998",1998,120,120,100,0,128.644764214642,77.4503933190501,0,1754.15931809648,1428.5,1273.54632637911,1620,1367.5,1439,1357.5,76.3570902137153
"1998/1999",1999,120,120,100,0,116.543609127378,91.5191296945344,0,1516.95659463506,1140.5,966.70335241756,1390,1038.5,1349,1038.5,69.489619595932
"1999/2000",2000,120,120,100,0,88.7579451472531,85.7929261299925,0,1900.04364275416,1535.5,1267.71376310998,1763.5,1407.5,1748,1400.5,78.2196611463005
"2000/2001",2001,121,121,100,0,117.076623552164,75.8613329853844,0,1970.43150239345,1641,1439.82461595268,1834,1573.5,1697,1567.5,83.269435187008
"2001/2002",2002,120,120,100,0,76.8008187892106,85.6545616827471,0,1619.49614145661,1338,1209.03078423608,1495.5,1283.5,1314,1280,74.5989924442929
"2002/2003",2003,120,120,100,0,58.0053915941181,89.4750543681404,0,1641.99865625135,1400.5,1250.63225748415,1516.5,1360,1360,1360,75.3453709591754
"2003/2004",2004,120,120,100,0,67.8079153393972,80.9542555598877,0,1797.73363940023,1478.5,1199.0710753879,1694,1354,1655,1342.5,77.075719344873
"2004/2005",2005,121,121,100,18.5595566502463,116.121301800206,95.3303709328742,49.8611666666667,1563.26456863942,1227,1010.66569074093,1452.5,1129,1405,1129,68.2516620425054
"2005/2006",2006,120,120,100,33.7890229885057,129.22943588703,97.4632255073497,103.740708333333,1427.44345844722,997,772.904683382614,1329,843,1388,836.5,65.2745363372592
"2006/2007",2007,120,120,100,58.1772824302135,288.924176575161,69.7123518792028,95.560125,2042.69753805654,1851.5,1675.58923355534,1934,1782.5,1657,1779,84.9069464976183
"2007/2008",2008,120,120,100,51.6987356321839,242.720919956065,79.1619887527051,101.678208333333,1784.5063627167,1447,1316.50797910726,1650,1417,1469,1411,78.7727700864616
"2008/2009",2009,121,121,100,34.6035714285714,160.8642877331,94.7352674455389,104.013916666667,1468.68764830077,1072,903.899600341101,1372,995,1301,991,69.3662873519179
"2009/2010",2010,120,120,100,37.2946880131363,185.336577186702,93.4817896027732,98.5461666666666,1422.68384478214,1160,1030.09667187784,1327,1112.5,1176,1109.5,66.4754241439805
"2010/2011",2011,120,120,100,37.6992939244663,154.360177726787,94.1226349301138,99.57875,1473.55404118635,1156,985.229514635095,1366.5,1053.5,1287,1041,67.9391238046869
"2011/2012",2012,120,120,100,57.4836945812808,218.863253666472,88.5411765772781,99.0669583333333,1876.70195279978,1615.5,1363.15041547421,1772.5,1523,1699,1522,76.6586475205931
"2012/2013",2013,121,121,100,43.2276929392447,158.982989132395,91.7675493285213,101.803208333333,1687.46592518162,1367.5,1198.70581519259,1557,1303.5,1444,1301.5,71.88265694035
"2013/2014",2014,120,120,100,67.7837931034482,281.42861656746,75.5188278902563,103.199083333333,2119.24946398273,1814,1495.71639848127,2017,1691,1911,1690,83.0504479610099
"2014/2015",2015,120,120,100,48.2627175697866,198.142603704639,82.0285692432404,102.7895,1957.11339928789,1578,1356.2175866997,1843,1486.5,1745,1478.5,78.1245370275665
"2015/2016",2016,120,120,100,53.836527093596,242.066557144245,68.7366879319321,95.5370833333333,1933.73767396566,1699.5,1467.74729009595,1816.5,1630.5,1630,1584.5,80.9506018106636
"2016/2017",2017,121,121,100,44.0062315270936,200.878087483493,87.0153035477851,102.861083333333,1586.68001503436,1233,1089.52653716916,1473,1183.5,1357,1180,74.059109354268
"2017/2018",2018,120,120,100,54.059671592775,197.341063037657,84.8641825609151,103.340375,1985.02590977363,1642,1357.80785210563,1894.5,1516,1817,1513,75.3045638648382
"2018/2019",2019,120,120,100,50.6778325123153,239.519240731217,77.3607654213851,101.620458333333,1780.30265806228,1449.5,1248.33067256183,1676.5,1382,1481,1364,78.8465184185461
"2019/2020",2020,120,120,100,57.4530541871921,277.190312522547,70.6038705546492,100.47225,1989.04215886927,1727,1510.49297773032,1887.5,1639,1713,1631.5,86.0913288105276
