"Year","pheno","Predicted"
1960,110,110.208333333333
1961,97,98.9583333333333
1962,129,127.083333333333
1963,125,128.958333333333
1965,125,127.166666666667
1966,110,115.958333333333
1968,112,113.541666666667
1970,130,132.416666666667
1971,120,126.541666666667
1972,119,121.458333333333
1973,126,133.958333333333
1974,101,102.125
1975,117,111.833333333333
1976,117,123.875
1978,119,124.333333333333
1979,132,135.5
1980,122,132.666666666667
1981,103,102.416666666667
1983,118,121.25
1984,130,135
1985,132,127.208333333333
1989,105,114.416666666667
1991,105,112.25
1992,114,119.208333333333
1994,113,116.5
1998,104,104.083333333333
1999,109,112
2000,111,113.083333333333
2002,93,98.2916666666667
2003,108,104.583333333333
2004,109,104.458333333333
2005,107,101.375
2007,105,105.041666666667
2011,96,102.291666666667
2013,121,118.083333333333
2014,93,93.5
2015,111,116.375
2016,111,111.958333333333
2017,95,100.166666666667
2023,106,91.0833333333333
2026,57,51.6666666666667
2027,43,54.4166666666667
2028,57,52.4166666666667
2032,85,70.125
2033,43,42
2038,43,40.9583333333333
2040,80,71.2083333333333
2042,98,87.125
2044,87,70.4166666666667
2052,87,75.0416666666667
