"Year","pheno","Predicted"
2020,115,137.958333333333
2024,49,44.0833333333333
2025,64,64.3333333333333
2027,100,91
2028,119,115.041666666667
2030,53,53.0833333333333
2031,113,137.208333333333
2032,53,62.1666666666667
2034,109,83.1666666666667
2039,89,78.2083333333333
2041,53,52.875
2044,93,81
2045,67,60.125
2046,113,108.916666666667
2047,70,66.3333333333333
2048,115,119.041666666667
2049,99,96.125
2050,71,67.75
2051,99,98.125
2054,94,86.25
2058,101,102.5
2060,66,62.125
2061,119,84.2916666666667
2062,133,144.375
2063,73,70.5833333333333
2064,94,93.0416666666667
2065,140,149.083333333333
2066,97,94.125
2067,77,94.125
2068,91,100.375
2071,126,117.083333333333
2075,48,37.3333333333333
2076,133,118.291666666667
2077,108,102.375
2078,97,103.916666666667
2079,112,116.958333333333
2081,129,128.458333333333
2082,91,102.541666666667
2083,98,103.208333333333
2085,70,69.0833333333333
