"Year","pheno","Predicted"
2020,115,127.125
2024,49,45.1666666666667
2025,64,64
2026,50,44.4166666666667
2027,100,98.2916666666667
2028,119,117.25
2030,53,52.6666666666667
2031,113,122.958333333333
2034,109,98.125
2039,89,80.125
2041,53,52.4166666666667
2044,93,81.2916666666667
2045,67,60.75
2046,113,105.291666666667
2047,70,69.25
2048,115,117.375
2049,99,98.7083333333333
2050,71,70.1666666666667
2051,99,100.083333333333
2052,116,120.166666666667
2053,112,129.416666666667
2054,94,89.0416666666667
2056,108,112.25
2057,77,90.0833333333333
2058,101,93.25
2060,66,63.9166666666667
2062,133,142.291666666667
2063,73,73
2064,94,95.1666666666667
2066,97,91.125
2067,77,81.4166666666667
2068,91,95.125
2071,126,113.958333333333
2075,48,41.5
2076,133,143.833333333333
2078,97,97.25
2079,112,112.458333333333
2082,91,93.25
2083,98,100
2085,70,68.9166666666667
